,number,value,datetime_start,datetime_complete,duration,params_activation_l0,params_activation_l1,params_activation_l2,params_lr,params_n_units_l0,params_n_units_l1,params_n_units_l2,state
0,0,0.11772239208221436,2024-07-25 13:25:23.282589,2024-07-25 13:25:48.689320,0 days 00:00:25.406731,sigmoid,elu,elu,0.00016051141239153282,163,805,618,COMPLETE
1,1,0.0789547860622406,2024-07-25 13:25:48.694149,2024-07-25 13:26:12.251306,0 days 00:00:23.557157,sigmoid,sigmoid,elu,0.0004850862802331533,374,150,957,COMPLETE
2,2,0.05915480852127075,2024-07-25 13:26:12.254390,2024-07-25 13:26:37.984628,0 days 00:00:25.730238,tanh,elu,sigmoid,0.00013760406407370857,535,409,322,COMPLETE
3,3,0.15430830419063568,2024-07-25 13:26:37.989228,2024-07-25 13:27:04.028162,0 days 00:00:26.038934,sigmoid,elu,tanh,0.0009010986098190771,633,800,907,COMPLETE
4,4,0.08368927240371704,2024-07-25 13:27:04.029895,2024-07-25 13:27:29.084209,0 days 00:00:25.054314,elu,elu,tanh,0.00025617725296510406,861,934,422,COMPLETE
5,5,0.09580172598361969,2024-07-25 13:27:29.085961,2024-07-25 13:27:53.885026,0 days 00:00:24.799065,sigmoid,sigmoid,sigmoid,0.002163752983084378,784,508,294,COMPLETE
6,6,0.1283739060163498,2024-07-25 13:27:53.886775,2024-07-25 13:28:18.713258,0 days 00:00:24.826483,sigmoid,sigmoid,sigmoid,0.0034961919638546893,773,632,580,COMPLETE
7,7,0.11358930170536041,2024-07-25 13:28:18.715021,2024-07-25 13:28:43.592047,0 days 00:00:24.877026,elu,sigmoid,sigmoid,0.0035568797088011226,261,729,854,COMPLETE
8,8,0.08414813876152039,2024-07-25 13:28:43.593865,2024-07-25 13:29:08.331336,0 days 00:00:24.737471,tanh,elu,tanh,0.00021971539130949367,600,276,755,COMPLETE
9,9,0.08152920007705688,2024-07-25 13:29:08.333034,2024-07-25 13:29:33.154228,0 days 00:00:24.821194,sigmoid,sigmoid,tanh,0.00015294549308892652,727,346,965,COMPLETE
