,number,value,datetime_start,datetime_complete,duration,params_layers,params_lr,state
0,0,0.0584881417453289,2024-07-25 15:00:23.208491,2024-07-25 15:00:45.804555,0 days 00:00:22.596064,3,0.000107178758658115,COMPLETE
1,1,0.06904004514217377,2024-07-25 15:00:45.808920,2024-07-25 15:01:11.884474,0 days 00:00:26.075554,5,0.0001407323701982945,COMPLETE
2,2,0.4767244756221771,2024-07-25 15:01:11.886107,2024-07-25 15:01:36.076819,0 days 00:00:24.190712,3,0.004326935718163088,COMPLETE
3,3,0.18679839372634888,2024-07-25 15:01:36.078520,2024-07-25 15:01:54.832977,0 days 00:00:18.754457,1,0.0004068159261057559,COMPLETE
4,4,0.05790941044688225,2024-07-25 15:01:54.834738,2024-07-25 15:02:22.047773,0 days 00:00:27.213035,4,0.00016634505433207983,COMPLETE
5,5,0.18068362772464752,2024-07-25 15:02:22.052695,2024-07-25 15:02:40.460771,0 days 00:00:18.408076,1,0.0037441027055766826,COMPLETE
6,6,0.15296624600887299,2024-07-25 15:02:40.462401,2024-07-25 15:02:58.961691,0 days 00:00:18.499290,1,0.0016743163715492526,COMPLETE
7,7,0.06380222737789154,2024-07-25 15:02:58.963363,2024-07-25 15:03:26.271287,0 days 00:00:27.307924,4,0.00011244402747419361,COMPLETE
8,8,0.06882425397634506,2024-07-25 15:03:26.272964,2024-07-25 15:03:56.071305,0 days 00:00:29.798341,5,0.0001705291435517706,COMPLETE
9,9,0.432854562997818,2024-07-25 15:03:56.072973,2024-07-25 15:04:18.450184,0 days 00:00:22.377211,3,0.004947408070866414,COMPLETE
10,10,0.08761054277420044,2024-07-25 15:04:18.451848,2024-07-25 15:04:44.785675,0 days 00:00:26.333827,4,0.0005063575737394569,COMPLETE
11,11,0.07344257086515427,2024-07-25 15:04:44.788048,2024-07-25 15:05:06.343941,0 days 00:00:21.555893,2,0.000325404099392904,COMPLETE
12,12,0.13835163414478302,2024-07-25 15:05:06.345557,2024-07-25 15:05:32.462151,0 days 00:00:26.116594,4,0.0010390313112918872,COMPLETE
13,13,0.06979897618293762,2024-07-25 15:05:32.463859,2024-07-25 15:05:53.159207,0 days 00:00:20.695348,2,0.000222170856210738,COMPLETE
14,14,0.05863914638757706,2024-07-25 15:05:53.160963,2024-07-25 15:06:15.220657,0 days 00:00:22.059694,3,0.00010346155543200771,COMPLETE
15,15,0.11437755823135376,2024-07-25 15:06:15.222367,2024-07-25 15:06:42.762706,0 days 00:00:27.540339,4,0.0008947210667582357,COMPLETE
16,16,0.07444558292627335,2024-07-25 15:06:42.764343,2024-07-25 15:07:03.516817,0 days 00:00:20.752474,2,0.00021963576651422932,COMPLETE
17,17,0.1551016867160797,2024-07-25 15:07:03.518440,2024-07-25 15:07:31.191992,0 days 00:00:27.673552,5,0.0006357564767572297,COMPLETE
18,18,0.2909757196903229,2024-07-25 15:07:31.193622,2024-07-25 15:07:55.943110,0 days 00:00:24.749488,4,0.0021162032251507857,COMPLETE
19,19,0.06179434061050415,2024-07-25 15:07:55.944881,2024-07-25 15:08:19.005236,0 days 00:00:23.060355,3,0.00026384239942934363,COMPLETE
20,20,0.058661218732595444,2024-07-25 15:08:19.006968,2024-07-25 15:08:39.469617,0 days 00:00:20.462649,3,0.00014897064538895463,COMPLETE
21,21,0.05853201821446419,2024-07-25 15:08:39.471311,2024-07-25 15:09:00.072719,0 days 00:00:20.601408,3,0.00010373064980266756,COMPLETE
22,22,0.6517004370689392,2024-07-25 15:09:00.074463,2024-07-25 15:09:21.095328,0 days 00:00:21.020865,2,0.009472638576790739,COMPLETE
23,23,0.060125160962343216,2024-07-25 15:09:21.097064,2024-07-25 15:09:45.835615,0 days 00:00:24.738551,4,0.00010282810978312924,COMPLETE
24,24,0.056663818657398224,2024-07-25 15:09:45.837425,2024-07-25 15:10:10.561234,0 days 00:00:24.723809,3,0.00017895638252398953,COMPLETE
25,25,0.057411372661590576,2024-07-25 15:10:10.565082,2024-07-25 15:10:35.207566,0 days 00:00:24.642484,3,0.0001827131321336084,COMPLETE
26,26,0.06380101293325424,2024-07-25 15:10:35.209449,2024-07-25 15:10:56.658588,0 days 00:00:21.449139,2,0.0003300193175611901,COMPLETE
27,27,0.06927432864904404,2024-07-25 15:10:56.660250,2024-07-25 15:11:23.846307,0 days 00:00:27.186057,4,0.00017847663103438217,COMPLETE
28,28,0.14986035227775574,2024-07-25 15:11:23.847956,2024-07-25 15:11:53.573915,0 days 00:00:29.725959,5,0.0007274298896313598,COMPLETE
29,29,0.09203263372182846,2024-07-25 15:11:53.575599,2024-07-25 15:12:21.055632,0 days 00:00:27.480033,4,0.00044523566437856474,COMPLETE
30,30,0.07363688200712204,2024-07-25 15:12:21.057275,2024-07-25 15:12:42.632521,0 days 00:00:21.575246,2,0.0002688803158354246,COMPLETE
31,31,0.056850116699934006,2024-07-25 15:12:42.634170,2024-07-25 15:13:07.475209,0 days 00:00:24.841039,3,0.00014035114113114273,COMPLETE
32,32,0.054968591779470444,2024-07-25 15:13:07.476869,2024-07-25 15:13:32.397583,0 days 00:00:24.920714,3,0.00014607133037895976,COMPLETE
33,33,0.05351616069674492,2024-07-25 15:13:32.401668,2024-07-25 15:13:55.134321,0 days 00:00:22.732653,3,0.00021110650847523736,COMPLETE
34,34,0.053907014429569244,2024-07-25 15:13:55.138318,2024-07-25 15:14:13.890075,0 days 00:00:18.751757,3,0.00014289992838834023,COMPLETE
35,35,0.06011302396655083,2024-07-25 15:14:13.891770,2024-07-25 15:14:36.803320,0 days 00:00:22.911550,3,0.00023966584894219588,COMPLETE
36,36,0.060792963951826096,2024-07-25 15:14:36.804981,2024-07-25 15:15:00.642134,0 days 00:00:23.837153,3,0.00034964590413291794,COMPLETE
37,37,0.0591505728662014,2024-07-25 15:15:00.643888,2024-07-25 15:15:22.224907,0 days 00:00:21.581019,3,0.00013545577401358812,COMPLETE
38,38,0.0839914008975029,2024-07-25 15:15:22.226841,2024-07-25 15:15:43.163749,0 days 00:00:20.936908,2,0.00013733935327051838,COMPLETE
39,39,0.057420987635850906,2024-07-25 15:15:43.165375,2024-07-25 15:16:07.519840,0 days 00:00:24.354465,3,0.0002032251636622853,COMPLETE
40,40,0.07532306760549545,2024-07-25 15:16:07.521493,2024-07-25 15:16:32.408968,0 days 00:00:24.887475,3,0.0005215500212562302,COMPLETE
41,41,0.05685722827911377,2024-07-25 15:16:32.410599,2024-07-25 15:16:56.013352,0 days 00:00:23.602753,3,0.00013486326007941768,COMPLETE
42,42,0.05296964570879936,2024-07-25 15:16:56.015004,2024-07-25 15:17:19.054641,0 days 00:00:23.039637,3,0.00015719694772680883,COMPLETE
43,43,0.0601951889693737,2024-07-25 15:17:19.058644,2024-07-25 15:17:43.444355,0 days 00:00:24.385711,3,0.00029393848102937295,COMPLETE
44,44,0.07083483785390854,2024-07-25 15:17:43.445987,2024-07-25 15:18:04.463285,0 days 00:00:21.017298,2,0.00019628563420420958,COMPLETE
45,45,0.07284099608659744,2024-07-25 15:18:04.465072,2024-07-25 15:18:27.473350,0 days 00:00:23.008278,3,0.000403361967758155,COMPLETE
46,46,0.05846674367785454,2024-07-25 15:18:27.474985,2024-07-25 15:18:53.344026,0 days 00:00:25.869041,4,0.00012304940842776835,COMPLETE
47,47,0.053872253745794296,2024-07-25 15:18:53.345711,2024-07-25 15:19:15.840941,0 days 00:00:22.495230,3,0.00017294128534887858,COMPLETE
48,48,0.10287518799304962,2024-07-25 15:19:15.842578,2024-07-25 15:19:34.618606,0 days 00:00:18.776028,2,0.0013343267460755354,COMPLETE
49,49,0.2155793160200119,2024-07-25 15:19:34.620265,2024-07-25 15:19:48.934654,0 days 00:00:14.314389,1,0.00016547349376871945,COMPLETE
50,50,0.056596554815769196,2024-07-25 15:19:48.936342,2024-07-25 15:20:10.592308,0 days 00:00:21.655966,3,0.00024340690934438,COMPLETE
51,51,0.056842029094696045,2024-07-25 15:20:10.594073,2024-07-25 15:20:32.531145,0 days 00:00:21.937072,3,0.00022810202114219717,COMPLETE
52,52,0.05435001477599144,2024-07-25 15:20:32.532836,2024-07-25 15:20:57.309726,0 days 00:00:24.776890,3,0.0001569300111172601,COMPLETE
53,53,0.060732122510671616,2024-07-25 15:20:57.311370,2024-07-25 15:21:21.482859,0 days 00:00:24.171489,3,0.00011739411197756774,COMPLETE
54,54,0.053738027811050415,2024-07-25 15:21:21.484480,2024-07-25 15:21:48.892437,0 days 00:00:27.407957,4,0.00015415538989410114,COMPLETE
55,55,0.059609271585941315,2024-07-25 15:21:48.894158,2024-07-25 15:22:16.191705,0 days 00:00:27.297547,4,0.0001624000903388895,COMPLETE
56,56,0.06897921115159988,2024-07-25 15:22:16.193368,2024-07-25 15:22:43.806946,0 days 00:00:27.613578,4,0.00011514583308678624,COMPLETE
57,57,0.3465828597545624,2024-07-25 15:22:43.808593,2024-07-25 15:23:14.325624,0 days 00:00:30.517031,5,0.0021993651759622023,COMPLETE
58,58,0.0825888141989708,2024-07-25 15:23:14.327348,2024-07-25 15:23:42.816920,0 days 00:00:28.489572,4,0.0003042060309327669,COMPLETE
59,59,0.07170634716749191,2024-07-25 15:23:42.818574,2024-07-25 15:24:07.877040,0 days 00:00:25.058466,3,0.0003674021833697681,COMPLETE
60,60,0.06526392698287964,2024-07-25 15:24:07.878706,2024-07-25 15:24:35.287804,0 days 00:00:27.409098,4,0.00021524250411430993,COMPLETE
61,61,0.06172817572951317,2024-07-25 15:24:35.289452,2024-07-25 15:24:59.913665,0 days 00:00:24.624213,3,0.00015701260234444472,COMPLETE
62,62,0.06576164811849594,2024-07-25 15:24:59.915316,2024-07-25 15:25:24.592640,0 days 00:00:24.677324,3,0.00012511408645882627,COMPLETE
63,63,0.06030796840786934,2024-07-25 15:25:24.594305,2024-07-25 15:25:48.420737,0 days 00:00:23.826432,3,0.00010244741822578387,COMPLETE
64,64,0.0523778572678566,2024-07-25 15:25:48.422535,2024-07-25 15:26:13.067707,0 days 00:00:24.645172,3,0.000154094770745267,COMPLETE
65,65,0.06860581785440445,2024-07-25 15:26:13.071879,2024-07-25 15:26:34.385833,0 days 00:00:21.313954,2,0.00019385692033670751,COMPLETE
66,66,0.0616600401699543,2024-07-25 15:26:34.387680,2024-07-25 15:26:59.186132,0 days 00:00:24.798452,3,0.00016188831818838873,COMPLETE
67,67,0.06981825828552246,2024-07-25 15:26:59.187818,2024-07-25 15:27:23.847107,0 days 00:00:24.659289,3,0.00027133096285312787,COMPLETE
68,68,0.05061390623450279,2024-07-25 15:27:23.848737,2024-07-25 15:27:48.444904,0 days 00:00:24.596167,3,0.00018813727196373314,COMPLETE
69,69,0.059598326683044434,2024-07-25 15:27:48.448760,2024-07-25 15:28:15.783540,0 days 00:00:27.334780,4,0.0001974754596428936,COMPLETE
70,70,0.05476431921124458,2024-07-25 15:28:15.785169,2024-07-25 15:28:40.192836,0 days 00:00:24.407667,3,0.0002547222654379471,COMPLETE
71,71,0.053233690559864044,2024-07-25 15:28:40.194493,2024-07-25 15:29:04.659425,0 days 00:00:24.464932,3,0.00017020273949365302,COMPLETE
72,72,0.060658253729343414,2024-07-25 15:29:04.661092,2024-07-25 15:29:29.226337,0 days 00:00:24.565245,3,0.00017735925469553976,COMPLETE
73,73,0.06404921412467957,2024-07-25 15:29:29.227984,2024-07-25 15:29:53.967529,0 days 00:00:24.739545,3,0.0001261844295179393,COMPLETE
74,74,0.057793792337179184,2024-07-25 15:29:53.969231,2024-07-25 15:30:18.861540,0 days 00:00:24.892309,3,0.00021674078959359324,COMPLETE
75,75,0.053649354726076126,2024-07-25 15:30:18.863264,2024-07-25 15:30:43.616924,0 days 00:00:24.753660,3,0.00015110106226362696,COMPLETE
76,76,0.38404619693756104,2024-07-25 15:30:43.618643,2024-07-25 15:31:05.252681,0 days 00:00:21.634038,2,0.006112558004526125,COMPLETE
77,77,0.05727451667189598,2024-07-25 15:31:05.254414,2024-07-25 15:31:28.604155,0 days 00:00:23.349741,3,0.00011496425096084934,COMPLETE
78,78,0.06339406222105026,2024-07-25 15:31:28.605831,2024-07-25 15:31:49.648401,0 days 00:00:21.042570,3,0.00028583946306792816,COMPLETE
79,79,0.06919442862272263,2024-07-25 15:31:49.650063,2024-07-25 15:32:09.645370,0 days 00:00:19.995307,2,0.00018250555784993212,COMPLETE
80,80,0.055037807673215866,2024-07-25 15:32:09.647019,2024-07-25 15:32:33.553385,0 days 00:00:23.906366,3,0.00014528175669029317,COMPLETE
81,81,0.059782784432172775,2024-07-25 15:32:33.555086,2024-07-25 15:32:58.525278,0 days 00:00:24.970192,3,0.00014188607756862357,COMPLETE
82,82,0.05497666075825691,2024-07-25 15:32:58.527073,2024-07-25 15:33:23.047812,0 days 00:00:24.520739,3,0.00017445280473175442,COMPLETE
