,number,value,datetime_start,datetime_complete,duration,params_lr,state
0,0,0.13715185225009918,2024-08-12 22:49:01.002042,2024-08-12 22:52:10.514169,0 days 00:03:09.512127,0.002060856287492368,COMPLETE
1,1,0.042784225195646286,2024-08-12 22:52:10.518429,2024-08-12 22:55:03.956966,0 days 00:02:53.438537,0.00016196620429909374,COMPLETE
2,2,0.11169195920228958,2024-08-12 22:55:03.961473,2024-08-12 22:57:51.119727,0 days 00:02:47.158254,0.001021228900236345,COMPLETE
3,3,0.30855289101600647,2024-08-12 22:57:51.121536,2024-08-12 23:00:48.588082,0 days 00:02:57.466546,0.0034425983615550384,COMPLETE
4,4,0.0790591612458229,2024-08-12 23:00:48.589980,2024-08-12 23:03:42.725209,0 days 00:02:54.135229,0.000731982038803272,COMPLETE
5,5,0.5726819634437561,2024-08-12 23:03:42.726991,2024-08-12 23:03:47.707233,0 days 00:00:04.980242,0.007095792719019229,PRUNED
6,6,0.11643150448799133,2024-08-12 23:03:47.707946,2024-08-12 23:04:31.739122,0 days 00:00:44.031176,0.001245947938761299,PRUNED
7,7,0.6146578192710876,2024-08-12 23:04:31.739888,2024-08-12 23:04:37.303090,0 days 00:00:05.563202,0.007242588459039621,PRUNED
8,8,0.08053205907344818,2024-08-12 23:04:37.303817,2024-08-12 23:07:36.332007,0 days 00:02:59.028190,0.0006605624655939934,COMPLETE
9,9,0.10274609178304672,2024-08-12 23:07:36.333782,2024-08-12 23:07:41.922231,0 days 00:00:05.588449,0.00010507099360018884,PRUNED
10,10,0.10548654943704605,2024-08-12 23:07:41.922991,2024-08-12 23:07:47.560273,0 days 00:00:05.637282,0.00011513376838769394,PRUNED
11,11,0.055207982659339905,2024-08-12 23:07:47.560944,2024-08-12 23:10:39.040915,0 days 00:02:51.479971,0.00027600650930748293,COMPLETE
12,12,0.05453447252511978,2024-08-12 23:10:39.042919,2024-08-12 23:13:24.717202,0 days 00:02:45.674283,0.0002575569404849677,COMPLETE
13,13,0.06173594295978546,2024-08-12 23:13:24.718926,2024-08-12 23:16:22.806815,0 days 00:02:58.087889,0.0002772157077056441,COMPLETE
14,14,0.04909786954522133,2024-08-12 23:16:22.808553,2024-08-12 23:19:17.127885,0 days 00:02:54.319332,0.00028134020429212053,COMPLETE
15,15,0.03941288962960243,2024-08-12 23:19:17.129618,2024-08-12 23:22:10.538843,0 days 00:02:53.409225,0.00019509558970267883,COMPLETE
16,16,0.04157468304038048,2024-08-12 23:22:10.542941,2024-08-12 23:24:51.256618,0 days 00:02:40.713677,0.0001822335079481084,COMPLETE
17,17,0.07239612936973572,2024-08-12 23:24:51.258403,2024-08-12 23:25:08.146467,0 days 00:00:16.888064,0.0004916400555913676,PRUNED
18,18,0.07250826060771942,2024-08-12 23:25:08.147270,2024-08-12 23:25:25.567273,0 days 00:00:17.420003,0.00046379374954767116,PRUNED
19,19,0.04082502797245979,2024-08-12 23:25:25.567978,2024-08-12 23:28:24.418399,0 days 00:02:58.850421,0.0001735803057074071,COMPLETE
20,20,0.08940118551254272,2024-08-12 23:28:24.420146,2024-08-12 23:28:29.923143,0 days 00:00:05.502997,0.00017014335964659252,PRUNED
21,21,0.0999784842133522,2024-08-12 23:28:29.923812,2024-08-12 23:28:35.537159,0 days 00:00:05.613347,0.0001738113183313256,PRUNED
22,22,0.060516584664583206,2024-08-12 23:28:35.537824,2024-08-12 23:31:25.785946,0 days 00:02:50.248122,0.00038538476659263075,COMPLETE
23,23,0.09196535497903824,2024-08-12 23:31:25.787689,2024-08-12 23:31:30.915614,0 days 00:00:05.127925,0.00016662708997058643,PRUNED
24,24,0.0972038209438324,2024-08-12 23:31:30.916284,2024-08-12 23:31:35.955162,0 days 00:00:05.038878,0.0001324839255638116,PRUNED
25,25,0.040215104818344116,2024-08-12 23:31:35.955834,2024-08-12 23:34:27.095111,0 days 00:02:51.139277,0.0002196286652349715,COMPLETE
26,26,0.058836739510297775,2024-08-12 23:34:27.096821,2024-08-12 23:37:24.852737,0 days 00:02:57.755916,0.0003978830846152358,COMPLETE
27,27,0.05192488059401512,2024-08-12 23:37:24.854479,2024-08-12 23:40:12.414293,0 days 00:02:47.559814,0.00022584573696576125,COMPLETE
28,28,0.17321805655956268,2024-08-12 23:40:12.416139,2024-08-12 23:40:17.445814,0 days 00:00:05.029675,0.0015838502567724906,PRUNED
29,29,0.09377195686101913,2024-08-12 23:40:17.446487,2024-08-12 23:40:22.514589,0 days 00:00:05.068102,0.0007380306831886705,PRUNED
30,30,0.14299675822257996,2024-08-12 23:40:22.515265,2024-08-12 23:40:27.530602,0 days 00:00:05.015337,0.002046531049728057,PRUNED
31,31,0.051128216087818146,2024-08-12 23:40:27.531323,2024-08-12 23:43:06.933291,0 days 00:02:39.401968,0.00020781609346677004,COMPLETE
32,32,0.09463915228843689,2024-08-12 23:43:06.935088,2024-08-12 23:43:11.743899,0 days 00:00:04.808811,0.00013859431860302905,PRUNED
33,33,0.10766225308179855,2024-08-12 23:43:11.744574,2024-08-12 23:43:16.449761,0 days 00:00:04.705187,0.00010201287688159004,PRUNED
34,34,0.05237279459834099,2024-08-12 23:43:16.450430,2024-08-12 23:45:55.636201,0 days 00:02:39.185771,0.0003497373334160875,COMPLETE
35,35,0.08813578635454178,2024-08-12 23:45:55.637926,2024-08-12 23:46:00.415368,0 days 00:00:04.777442,0.00019019257512879143,PRUNED
36,36,0.09900746494531631,2024-08-12 23:46:00.416047,2024-08-12 23:46:05.230751,0 days 00:00:04.814704,0.00013488327796572919,PRUNED
37,37,0.07998690009117126,2024-08-12 23:46:05.231418,2024-08-12 23:46:11.705796,0 days 00:00:06.474378,0.0005738715410682485,PRUNED
38,38,0.4624801278114319,2024-08-12 23:46:11.706477,2024-08-12 23:46:16.701131,0 days 00:00:04.994654,0.0052914176941673595,PRUNED
39,39,0.08779348433017731,2024-08-12 23:46:16.701801,2024-08-12 23:46:21.674419,0 days 00:00:04.972618,0.0008670238555883633,PRUNED
40,40,0.058234017342329025,2024-08-12 23:46:21.675093,2024-08-12 23:48:54.606261,0 days 00:02:32.931168,0.0003199611649554965,COMPLETE
41,41,0.08687145262956619,2024-08-12 23:48:54.608001,2024-08-12 23:48:59.531539,0 days 00:00:04.923538,0.0002127016798656508,PRUNED
42,42,0.09540044516324997,2024-08-12 23:48:59.532231,2024-08-12 23:49:04.514191,0 days 00:00:04.981960,0.00014442833139644674,PRUNED
43,43,0.04954150691628456,2024-08-12 23:49:04.514867,2024-08-12 23:51:36.129537,0 days 00:02:31.614670,0.00023774327555186665,COMPLETE
44,44,0.10564097762107849,2024-08-12 23:51:36.131420,2024-08-12 23:51:40.848477,0 days 00:00:04.717057,0.0001229572915049405,PRUNED
45,45,0.2790452539920807,2024-08-12 23:51:40.849158,2024-08-12 23:51:45.654422,0 days 00:00:04.805264,0.0035695639514516557,PRUNED
46,46,0.09160308539867401,2024-08-12 23:51:45.655179,2024-08-12 23:51:50.573693,0 days 00:00:04.918514,0.00016407847292685925,PRUNED
47,47,0.10796236246824265,2024-08-12 23:51:50.574372,2024-08-12 23:51:55.314726,0 days 00:00:04.740354,0.0011517209081522842,PRUNED
48,48,0.10546546429395676,2024-08-12 23:51:55.315458,2024-08-12 23:52:00.129362,0 days 00:00:04.813904,0.00010287109651674114,PRUNED
49,49,0.058663155883550644,2024-08-12 23:52:00.130042,2024-08-12 23:54:32.239975,0 days 00:02:32.109933,0.00030528928409272204,COMPLETE
50,50,0.05012388899922371,2024-08-12 23:54:32.241702,2024-08-12 23:57:02.233244,0 days 00:02:29.991542,0.00024174773126714363,COMPLETE
51,51,0.059741031378507614,2024-08-12 23:57:02.235068,2024-08-12 23:59:33.729977,0 days 00:02:31.494909,0.0002745868006352374,COMPLETE
52,52,0.0884147584438324,2024-08-12 23:59:33.731752,2024-08-12 23:59:38.251310,0 days 00:00:04.519558,0.00018320746808319136,PRUNED
53,53,0.08139105886220932,2024-08-12 23:59:38.251993,2024-08-12 23:59:46.201252,0 days 00:00:07.949259,0.00043902533564781424,PRUNED
54,54,0.09281020611524582,2024-08-12 23:59:46.201939,2024-08-12 23:59:50.857913,0 days 00:00:04.655974,0.00014952798731906122,PRUNED
55,55,0.08745274692773819,2024-08-12 23:59:50.858581,2024-08-12 23:59:55.752349,0 days 00:00:04.893768,0.0002007145954705859,PRUNED
56,56,0.10212273895740509,2024-08-12 23:59:55.753036,2024-08-13 00:00:00.623757,0 days 00:00:04.870721,0.00011757447574976922,PRUNED
57,57,0.05232621729373932,2024-08-13 00:00:00.624430,2024-08-13 00:02:31.284046,0 days 00:02:30.659616,0.00028412731643510404,COMPLETE
