,number,value,datetime_start,datetime_complete,duration,params_lr,params_n_units,state
0,0,0.049540650099515915,2024-08-13 10:28:34.105984,2024-08-13 10:31:25.882077,0 days 00:02:51.776093,0.0001465194363251679,904,COMPLETE
1,1,0.15631359815597534,2024-08-13 10:31:25.891727,2024-08-13 10:33:59.247631,0 days 00:02:33.355904,0.002664240215552603,57,COMPLETE
2,2,0.19837446510791779,2024-08-13 10:33:59.249403,2024-08-13 10:36:36.586709,0 days 00:02:37.337306,0.003975056912443246,288,COMPLETE
3,3,0.18845774233341217,2024-08-13 10:36:36.588439,2024-08-13 10:39:43.185091,0 days 00:03:06.596652,0.0015049679217306543,968,COMPLETE
4,4,0.6549747586250305,2024-08-13 10:39:43.187378,2024-08-13 10:42:50.275612,0 days 00:03:07.088234,0.003784549010098196,993,COMPLETE
5,5,0.07596565783023834,2024-08-13 10:42:50.277809,2024-08-13 10:45:27.117460,0 days 00:02:36.839651,0.001058868559917858,241,COMPLETE
6,6,0.5057889819145203,2024-08-13 10:45:27.119214,2024-08-13 10:45:32.009383,0 days 00:00:04.890169,0.006106668708129364,636,PRUNED
7,7,0.4664585292339325,2024-08-13 10:45:32.010055,2024-08-13 10:45:36.917277,0 days 00:00:04.907222,0.005164265704871497,735,PRUNED
8,8,0.37340474128723145,2024-08-13 10:45:36.917967,2024-08-13 10:45:41.971173,0 days 00:00:05.053206,0.009564535931062493,13,PRUNED
9,9,0.08603335171937943,2024-08-13 10:45:41.971881,2024-08-13 10:48:40.054271,0 days 00:02:58.082390,0.0006130307711364191,564,COMPLETE
10,10,0.03291698545217514,2024-08-13 10:48:40.056223,2024-08-13 10:51:42.867126,0 days 00:03:02.810903,0.00010609291828073663,807,COMPLETE
11,11,0.03280388191342354,2024-08-13 10:51:42.874805,2024-08-13 10:54:51.463986,0 days 00:03:08.589181,0.00010009377727597604,807,COMPLETE
12,12,0.09659884124994278,2024-08-13 10:54:51.471828,2024-08-13 10:54:57.420128,0 days 00:00:05.948300,0.0001015716809873208,747,PRUNED
13,13,0.05805206298828125,2024-08-13 10:54:57.420870,2024-08-13 10:57:58.869716,0 days 00:03:01.448846,0.0002821263546474576,820,COMPLETE
14,14,0.05054723843932152,2024-08-13 10:57:58.871776,2024-08-13 11:00:39.043897,0 days 00:02:40.172121,0.00026585374689574336,486,COMPLETE
15,15,0.04169503226876259,2024-08-13 11:00:39.045728,2024-08-13 11:03:17.723701,0 days 00:02:38.677973,0.00023926391932778822,414,COMPLETE
16,16,0.07637646049261093,2024-08-13 11:03:17.725565,2024-08-13 11:06:08.959278,0 days 00:02:51.233713,0.0005221813033588143,668,COMPLETE
17,17,0.037989288568496704,2024-08-13 11:06:08.961299,2024-08-13 11:09:12.860527,0 days 00:03:03.899228,0.00012599310566783906,850,COMPLETE
18,18,0.07195968925952911,2024-08-13 11:09:12.862590,2024-08-13 11:09:45.251440,0 days 00:00:32.388850,0.00048226337698626363,783,PRUNED
19,19,0.04496721550822258,2024-08-13 11:09:45.252392,2024-08-13 11:12:58.939664,0 days 00:03:13.687272,0.0001800755584952024,640,COMPLETE
